SubjNum	 run	 trial	 seqtype	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 1	 135	 1	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.520652
100	 1	 136	 1	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.561564
100	 1	 137	 1	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.471825
100	 1	 138	 1	 4	 object_12.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 139	 1	 3	 object_7.jpg	 rot	 0	 n	 2	 1	 0.805208
100	 1	 140	 1	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.724815
100	 1	 141	 1	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.704289
100	 1	 142	 1	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.764929
100	 1	 143	 1	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.500307
100	 1	 144	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.579037
100	 1	 145	 1	 10	 object_2.jpg	 cor	 1	 NaN	 0	 0	 NaN
100	 1	 146	 1	 7	 object_17.jpg	 cor	 1	 c	 1	 1	 0.561238
100	 1	 147	 1	 5	 object_30.jpg	 cor	 1	 c	 1	 1	 0.724605
100	 1	 148	 1	 7	 object_17.jpg	 rot	 0	 NaN	 0	 0	 NaN
100	 1	 149	 1	 8	 object_24.jpg	 cor	 1	 c	 1	 1	 0.934948
100	 1	 150	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
100	 1	 151	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
