SubjNum	 run	 trial	 objnum	 file	 orientnam	 orientnum	 resp	 respnum	 acc	 rt
100	 4	 172	 4	 object_12.jpg	 cor	 1	 c	 1	 1	 0.556199
100	 4	 173	 3	 object_7.jpg	 rot	 0	 n	 2	 1	 0.646119
100	 4	 174	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.659733
100	 4	 175	 3	 object_7.jpg	 rot	 0	 n	 2	 1	 0.796578
100	 4	 176	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.672348
100	 4	 177	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.932959
100	 4	 178	 21	 object_25.jpg	 rot	 0	 n	 2	 1	 0.712886
100	 4	 179	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.607400
100	 4	 180	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.590859
100	 4	 181	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.605483
100	 4	 182	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.692820
100	 4	 183	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.596133
100	 4	 184	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.789988
100	 4	 185	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.675345
100	 4	 186	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.623535
100	 4	 187	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 1.024075
100	 4	 188	 18	 object_10.jpg	 rot	 0	 n	 2	 1	 0.922849
100	 4	 189	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.635587
100	 4	 190	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.582343
100	 4	 191	 2	 object_23.jpg	 cor	 1	 c	 1	 1	 0.604896
100	 4	 192	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.549535
100	 4	 193	 2	 object_23.jpg	 rot	 0	 n	 2	 1	 0.736282
100	 4	 194	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.541225
100	 4	 195	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.734114
100	 4	 196	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.706984
100	 4	 197	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.606731
100	 4	 198	 19	 object_4.jpg	 cor	 1	 c	 1	 1	 0.762867
100	 4	 199	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.571813
100	 4	 200	 19	 object_4.jpg	 rot	 0	 n	 2	 1	 0.790876
100	 4	 201	 21	 object_25.jpg	 cor	 1	 c	 1	 1	 0.630906
100	 4	 202	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.541479
100	 4	 203	 1	 object_6.jpg	 cor	 1	 c	 1	 1	 0.612619
100	 4	 204	 3	 object_7.jpg	 cor	 1	 c	 1	 1	 0.499021
100	 4	 205	 20	 object_16.jpg	 cor	 1	 c	 1	 1	 0.586570
100	 4	 206	 18	 object_10.jpg	 cor	 1	 c	 1	 1	 0.597549
100	 4	 207	 17	 object_34.jpg	 cor	 1	 c	 1	 1	 0.730577
100	 4	 208	 18	 object_10.jpg	 rot	 0	 n	 2	 1	 0.696668
